Relation Type,Source,Count,Example Source,Example Target
"OFFICER (SVP, General Manager, Products)",SEC_FORM_4,1,Coleman Troy,"ALLEGRO MICROSYSTEMS, INC."
"OFFICER (SVP, General Mgr. Blue Planet)",SEC_FORM_4,1,Cumello Joseph,CIENA CORP
"OFFICER (SVP, Global Chief People Offic)",SEC_FORM_4,1,Jones Angela Y,ACCO BRANDS Corp
"OFFICER (SVP, Global General Counsel)",SEC_FORM_4,1,van der Vaart Sandra D,LABORATORY CORP OF AMERICA HOLDINGS
"OFFICER (SVP, Global HR)",SEC_FORM_4,1,Rae Elizabeth B,WATERS CORP /DE/
"OFFICER (SVP, Global Human Resources)",SEC_FORM_4,1,Hyde Belinda,WATERS CORP /DE/
"OFFICER (SVP, Global Manufacturing)",SEC_FORM_4,1,Alpuche Charles,INSULET CORP
"OFFICER (SVP, Global Markets)",SEC_FORM_4,1,Harrington Michael C,WATERS CORP /DE/
"OFFICER (SVP, Global Ops and CSCO)",SEC_FORM_4,1,Seip David Eric,Ingredion Inc
"OFFICER (SVP, Global Products)",SEC_FORM_4,1,King Ian,WATERS CORP /DE/
"OFFICER (SVP, Global Supply Chain)",SEC_FORM_4,1,Borzi James W,BAXTER INTERNATIONAL INC
"OFFICER (SVP, HR & Administration)",SEC_FORM_4,1,Foley Douglas,"Intercontinental Exchange, Inc."
"OFFICER (SVP, HR)",SEC_FORM_4,1,Johnston Lori A,AMGEN INC
"OFFICER (SVP, HUMAN RESOURCES)",SEC_FORM_4,1,MOORE KATHRYN A,"Motorola Solutions, Inc."
"OFFICER (SVP, High Performance Analog)",SEC_FORM_4,1,Chesley Philip,"Qorvo, Inc."
"OFFICER (SVP, Human Resources & CHRO)",SEC_FORM_4,1,Lasky Charles D,FIRSTENERGY CORP
"OFFICER (SVP, Innovation and Strategy)",SEC_FORM_4,1,Benjamin Eric,INSULET CORP
"OFFICER (SVP, Instrument Technology)",SEC_FORM_4,1,King Ian,WATERS CORP /DE/
"OFFICER (SVP, Interim CFO)",SEC_FORM_4,1,COWHEY THOMAS F.,CVS HEALTH Corp
"OFFICER (SVP, Interim CFO, CAO & Cntrlr)",SEC_FORM_4,1,Zielinski Anita A,BAXTER INTERNATIONAL INC
"OFFICER (SVP, Interim CFO, Ctrl & CAO)",SEC_FORM_4,1,Cardin Robert J,MARTIN MARIETTA MATERIALS INC
"OFFICER (SVP, Interim General Counsel)",SEC_FORM_4,1,Loduca Janet C.,PG&E Corp
"OFFICER (SVP, Investor Relations, Treas)",SEC_FORM_4,1,Campbell Renee L,VALMONT INDUSTRIES INC
"OFFICER (SVP, Lending)",SEC_FORM_4,1,Bransteter Trever A,"Mercer Bancorp, Inc."
"OFFICER (SVP, Linde Engineering)",SEC_FORM_4,1,Innocenzi Stefanos,LINDE PLC
"OFFICER (SVP, Lubricants & Specialties)",SEC_FORM_4,1,Joyce Matthew,HF Sinclair Corp
"OFFICER (SVP, MARKET DEVELOPMENT)",SEC_FORM_4,1,Schneider Richard,AMPHENOL CORP /DE/
"OFFICER (SVP, MCAC SBU President)",SEC_FORM_4,1,Rubiolo Juan Ignacio,AES CORP
"OFFICER (SVP, Marketing & Corp. Develop)",SEC_FORM_4,1,Moore Curtis,ENERGY FUELS INC
"OFFICER (SVP, Marketing & Product Mgmt.)",SEC_FORM_4,1,Annen Steven,EDAP TMS SA
"OFFICER (SVP, Marketing)",SEC_FORM_4,1,CHUMLEY ROBERT J,Murphy USA Inc.
"OFFICER (SVP, Mine Development)",SEC_FORM_4,1,Kuntz Glen Nickolas,Ivanhoe Electric Inc.
"OFFICER (SVP, Networked Solutions)",SEC_FORM_4,1,Marcolini John F.,"ITRON, INC."
"OFFICER (SVP, New Energy Solutions)",SEC_FORM_4,1,Dubuc Manuel Perez,AES CORP
"OFFICER (SVP, New Mrkts & Alliances Grp)",SEC_FORM_4,1,Ghanayem Steve G.,APPLIED MATERIALS INC /DE
"OFFICER (SVP, Operational Finance)",SEC_FORM_4,1,ZHANG ZHIHUA,"VNET Group, Inc."
"OFFICER (SVP, Operations & Corp Mktg)",SEC_FORM_4,1,Henry David Philip,MKS INSTRUMENTS INC
"OFFICER (SVP, Operations & Development)",SEC_FORM_4,1,NORGEOT PETER S JR,ENTERGY CORP /DE/
"OFFICER (SVP, Operations & Quality)",SEC_FORM_4,1,ADDIEGO GINETTO,APPLIED MATERIALS INC /DE
"OFFICER (SVP, Operations and Treasurer)",SEC_FORM_4,1,RAMAGANO CHERYL K,UNIVERSAL HEALTH REALTY INCOME TRUST
"OFFICER (SVP, Ops and Engineering)",SEC_FORM_4,1,Griffie Charles G.,"Western Midstream Partners, LP"
"OFFICER (SVP, Outcomes)",SEC_FORM_4,1,Reeves Donald L. III,"ITRON, INC."
"OFFICER (SVP, PEM Segment Head)",SEC_FORM_4,1,Powers Brian John,WESTLAKE CORP
"OFFICER (SVP, Platform Products & UX)",SEC_FORM_4,1,Katz Gidon,"ROKU, INC"
"OFFICER (SVP, Pres Commercial)",SEC_FORM_4,1,Palmer Benjamin Edward,VIASAT INC
"OFFICER (SVP, Pres Viasat Government)",SEC_FORM_4,1,Miller Craig Andrew,VIASAT INC
"OFFICER (SVP, President, EMEA)",SEC_FORM_4,1,Franzi Cristiano,BAXTER INTERNATIONAL INC
"OFFICER (SVP, Prod Dev, Mktng & Brndng)",SEC_FORM_4,1,Chack Dennis M,FIRSTENERGY CORP
"OFFICER (SVP, Products Business)",SEC_FORM_4,1,Williams Paul Anthony,Emergent BioSolutions Inc.
"OFFICER (SVP, Proprietary Segment)",SEC_FORM_4,1,Campbell Shane Alden,WEST PHARMACEUTICAL SERVICES INC
"OFFICER (SVP, QA and RA)",SEC_FORM_4,1,Spears Michael P,INSULET CORP
"OFFICER (SVP, QA, RA and CA)",SEC_FORM_4,1,Spears Michael P,INSULET CORP
"OFFICER (SVP, Quality and Regulatory)",SEC_FORM_4,1,Spears Michael P,INSULET CORP
"OFFICER (SVP, QuickChek)",SEC_FORM_4,1,Segal Blake,Murphy USA Inc.
"OFFICER (SVP, R&D, New Prod Dev & Comm)",SEC_FORM_4,1,Benjamin Eric,INSULET CORP
"OFFICER (SVP, R&D, New Prod Dev. & Comm)",SEC_FORM_4,1,Benjamin Eric,INSULET CORP
"OFFICER (SVP, RA and Compliance)",SEC_FORM_4,1,Spears Michael P,INSULET CORP
"OFFICER (SVP, Reg, Quality & Compliance)",SEC_FORM_4,1,Cousin Laetitia,INSULET CORP
"OFFICER (SVP, Regulatory Affairs)",SEC_FORM_4,1,Bedoya-Toro Munera Maria E,"Dermata Therapeutics, Inc."
"OFFICER (SVP, Regulatory and Quality)",SEC_FORM_4,1,GREEN ANDREW M,"ARTIVION, INC."
"OFFICER (SVP, Sales & Chief Mktg Off)",SEC_FORM_4,1,Donelson John M A,CENTRUS ENERGY CORP
"OFFICER (SVP, Sales & Operations)",SEC_FORM_4,1,Bacon Renee M,Murphy USA Inc.
"OFFICER (SVP, Sales & Ops & CMO)",SEC_FORM_4,1,Bacon Renee M,Murphy USA Inc.
"OFFICER (SVP, Sales & Ops)",SEC_FORM_4,1,Bacon Renee M,Murphy USA Inc.
"OFFICER (SVP, Sales)",SEC_FORM_4,1,Arthur Kirk,"SOUNDTHINKING, INC."
"OFFICER (SVP, Semi. Products Group)",SEC_FORM_4,1,Raja Prabu G.,APPLIED MATERIALS INC /DE
"OFFICER (SVP, Senior Advisor to the CEO)",SEC_FORM_4,1,Portal Larry H,MEDICAL PROPERTIES TRUST INC
"OFFICER (SVP, Srv., Dspl. & Flex.)",SEC_FORM_4,1,Salehpour Ali,APPLIED MATERIALS INC /DE
"OFFICER (SVP, Store Operations)",SEC_FORM_4,1,Hisel Doug,"CRACKER BARREL OLD COUNTRY STORE, INC"
"OFFICER (SVP, Strategic Development)",SEC_FORM_4,1,Rhodes Blake,NEWMONT Corp /DE/
"OFFICER (SVP, Strategy & Corporate Dev)",SEC_FORM_4,1,Poussot Rodolphe Jean,WEST PHARMACEUTICAL SERVICES INC
"OFFICER (SVP, Strategy & Development)",SEC_FORM_4,1,Click Christopher A,Murphy USA Inc.
"OFFICER (SVP, Strategy & Sustainability)",SEC_FORM_4,1,Trivedi Surekha,Veralto Corp
"OFFICER (SVP, Strategy & Ventures)",SEC_FORM_4,1,NAIK RAJAN,"Motorola Solutions, Inc."
"OFFICER (SVP, Strategy and Policy)",SEC_FORM_4,1,Malnight Steven E.,PG&E Corp
"OFFICER (SVP, Strategy&Corp Development)",SEC_FORM_4,1,Unnikrishnan Roopa,IDEX CORP /DE/
"OFFICER (SVP, Strategy)",SEC_FORM_4,1,Benz Gary D,FIRSTENERGY CORP
"OFFICER (SVP, Strategy/Corp Development)",SEC_FORM_4,1,Wedel Christensen Jakob,"ILLUMINA, INC."
"OFFICER (SVP, Subscriptions & Corp Dev)",SEC_FORM_4,1,Fuchsberg Gilbert,"ROKU, INC"
"OFFICER (SVP, Supply Chain)",SEC_FORM_4,1,von Kunssberg Etienne,"Honest Company, Inc."
"OFFICER (SVP, Technology and CIO)",SEC_FORM_4,1,Wang Jack,"VerifyMe, Inc."
"OFFICER (SVP, Transformation)",SEC_FORM_4,1,NORGEOT PETER S JR,ENTERGY CORP /DE/
"OFFICER (SVP, Treasurer & IR)",SEC_FORM_4,1,Karros Kirt P,Hewlett Packard Enterprise Co
"OFFICER (SVP, Treasurer and FP&A)",SEC_FORM_4,1,Karros Kirt P,Hewlett Packard Enterprise Co
"OFFICER (SVP, Treasurer, Corp Dev FP&A)",SEC_FORM_4,1,Karros Kirt P,Hewlett Packard Enterprise Co
"OFFICER (SVP, Treasurer, Corp Dev)",SEC_FORM_4,1,Karros Kirt P,Hewlett Packard Enterprise Co
"OFFICER (SVP, Treasury, Tax & CAO)",SEC_FORM_4,1,Gilstrap Charles A,"Vistance Networks, Inc."
"OFFICER (SVP, Triton Container Sales)",SEC_FORM_4,1,VALENTINE KEVIN,Triton International Ltd
"OFFICER (SVP, U.S. Market)",SEC_FORM_4,1,Oosthuizen Johannes Jacobus,"Merck & Co., Inc."
"OFFICER (SVP, US SBU President)",SEC_FORM_4,1,Krueger Lisa,AES CORP
"OFFICER (SVP, Utility Shared Services)",SEC_FORM_4,1,Shannon Nancy,CONSOLIDATED EDISON INC
"OFFICER (SVP, Utility Transformation)",SEC_FORM_4,1,Creekmur Daniel A,NISOURCE INC.
"OFFICER (SVP, WORLDWIDE SALES)",SEC_FORM_4,1,Bokan Michael W,MICRON TECHNOLOGY INC
"OFFICER (SVP, Water Resources)",SEC_FORM_4,1,Lenderking John Carroll,"Global Water Resources, Inc."
"OFFICER (SVP, Waters Division)",SEC_FORM_4,1,Carpio Robert L III,WATERS CORP /DE/
"OFFICER (SVP,Controller&Chief Acct Off)",SEC_FORM_4,1,Spoerel Thomas J,BECTON DICKINSON & CO
"OFFICER (SVP,Interim CFO,CAO&Cntrl)",SEC_FORM_4,1,Stevens Brian,BAXTER INTERNATIONAL INC
"OFFICER (SVP,Secretary,General Counsel)",SEC_FORM_4,1,Bolash Brian W.,ERIE INDEMNITY CO
"OFFICER (SVP,Worldwide Ops & Sply Chain)",SEC_FORM_4,1,FLANAGAN JOSEPH GERARD,APPLIED MATERIALS INC /DE
OFFICER (SVP-CFO),SEC_FORM_4,1,Fisher Joseph D,"UDR, Inc."
OFFICER (SVP-CHIEF DEVELOPMENT OFFICER),SEC_FORM_4,1,Dubois-Stringfellow Nathalie,"SANGAMO THERAPEUTICS, INC"
OFFICER (SVP-CHRO),SEC_FORM_4,1,Williams James P,Polaris Inc.
OFFICER (SVP-Chief Cust. & Digital Ofr.),SEC_FORM_4,1,Kemp Tracy L,Allegion plc
OFFICER (SVP-Chief Info. & Digital Ofr.),SEC_FORM_4,1,Kemp Tracy L,Allegion plc
OFFICER (SVP-Chief Investment Officer),SEC_FORM_4,1,ALCOCK HARRY G,"UDR, Inc."
OFFICER (SVP-Chief Legal Officer),SEC_FORM_4,1,BENSON KEITH,"UDR, Inc."
OFFICER (SVP-Corp Serv & Innovation),SEC_FORM_4,1,Cozad Matthew A,"UDR, Inc."
OFFICER (SVP-Corp Serv and Innovation),SEC_FORM_4,1,Cozad Matthew A,"UDR, Inc."
OFFICER (SVP-HR & Chief Devel. Officer),SEC_FORM_4,1,Bauerschmidt Mary Ellen,Snap-on Inc
OFFICER (SVP-Internal Audit Services),SEC_FORM_4,1,Billington Phillip G,"HCA Healthcare, Inc."
OFFICER (SVP-NA Papers Pulp & Con Pkg),SEC_FORM_4,1,Amick W. Michael Jr.,INTERNATIONAL PAPER CO /NEW/
OFFICER (SVP-Payer Contracting & Align.),SEC_FORM_4,1,Torres Kathryn A.,"HCA Healthcare, Inc."
OFFICER (SVP-Property Operations),SEC_FORM_4,1,Lacy Michael D,"UDR, Inc."
OFFICER (SVP. CAO and Controller),SEC_FORM_4,1,Stevens Brian,BAXTER INTERNATIONAL INC
OFFICER (SVP/Banking Division Manager),SEC_FORM_4,1,Baker Robert James Jr,WESTAMERICA BANCORPORATION
OFFICER (SVP/CAO),SEC_FORM_4,1,Weiszhaar Barbara Barton,AIAI Holdings Corp
OFFICER (SVP/CFO),SEC_FORM_4,1,Walker William James IV,"AUBURN NATIONAL BANCORPORATION, INC"
OFFICER (SVP/Chief Medical Officer),SEC_FORM_4,1,ARSHAD TARIQ,"Qualigen Therapeutics, Inc."
OFFICER (SVP/Controller/CAO & CIO),SEC_FORM_4,1,Guzzo Dana F.,MARTIN MARIETTA MATERIALS INC
OFFICER (SVP/Controller/CAO),SEC_FORM_4,1,Guzzo Dana F.,MARTIN MARIETTA MATERIALS INC
OFFICER (SVP/Risk Officer),SEC_FORM_4,1,Belton Curtis,WESTAMERICA BANCORPORATION
OFFICER (SVP/Strategic Project Manager),SEC_FORM_4,1,Higgins Carla M.,CNB FINANCIAL CORP/PA
OFFICER (SVP; Chief Development Officer),SEC_FORM_4,1,Sowell Joseph A III,"HCA Healthcare, Inc."
OFFICER (SVPController & Chief Acct Off),SEC_FORM_4,1,Spoerel Thomas J,BECTON DICKINSON & CO
OFFICER (Secretary & CLO),SEC_FORM_4,1,VILSACK ROBERT D,PARK OHIO HOLDINGS CORP
OFFICER (Secretary & General Counsel),SEC_FORM_4,1,HUGHES ANDREW S,"AEye, Inc."
OFFICER (Secretary and CCO),SEC_FORM_4,1,Hall Bjorn,"Fundrise Innovation Fund, LLC"
OFFICER (Secretary and General Counsel),SEC_FORM_4,1,Juden Alexander C.,SCHLUMBERGER LIMITED/NV
"OFFICER (Secretary, EVP, & CAO)",SEC_FORM_4,1,KAUFMAN CAROL R,COOPER COMPANIES INC
"OFFICER (Secretary, EVP, CAO & CGO)",SEC_FORM_4,1,KAUFMAN CAROL R,COOPER COMPANIES INC
"OFFICER (Secretary, Treasurer, CFO)",SEC_FORM_4,1,McNeely Dottie Wommack,INTERNATIONAL STAR INC
"OFFICER (Secretary, VP, CLO)",SEC_FORM_4,1,McAnnar John,"HireQuest, Inc."
OFFICER (Secretary; Co-CIO),SEC_FORM_4,1,Mahajan Umesh,"Chicago Atlantic BDC, Inc."
OFFICER (Section 16 Officer),SEC_FORM_4,1,Murphy Terrence,FRANKLIN RESOURCES INC
OFFICER (See Remark),SEC_FORM_4,1,Fuggetta Gianluca,"Gain Therapeutics, Inc."
OFFICER (See Remarks below.),SEC_FORM_4,1,Galvao Antonio,Eaton Corp plc
OFFICER (See remarks below.),SEC_FORM_4,1,Noor Jehanzeb,"ZIMMER BIOMET HOLDINGS, INC."
OFFICER (See remarks.),SEC_FORM_4,1,Ryan James Timothy Patrick,BioNTech SE
"OFFICER (Seg Pres, Pharmacy Sol & CCAO)",SEC_FORM_4,1,Fleming William Kevin,HUMANA INC
OFFICER (Seg Pres. Grp. & Military Bus.),SEC_FORM_4,1,Schick Susan D.,HUMANA INC
"OFFICER (Seg. President, Home Solutions)",SEC_FORM_4,1,"Agwunobi, M.D. Andrew C.",HUMANA INC
OFFICER (Segment President),SEC_FORM_4,1,Prieur Marc,"APTARGROUP, INC."
"OFFICER (Segment President, Retail)",SEC_FORM_4,1,Wheatley Timothy Alan,HUMANA INC
OFFICER (Senior Advisor to CEO),SEC_FORM_4,1,Chu Mark,"Yum China Holdings, Inc."
OFFICER (Senior Advisor),SEC_FORM_4,1,HARTSFIELD KAREN E,ATMOS ENERGY CORP
OFFICER (Senior EVP and CFO),SEC_FORM_4,1,Whipple Joshua J,GLOBAL PAYMENTS INC
OFFICER (Senior EVP and General Counsel),SEC_FORM_4,1,Green David Lawrence,GLOBAL PAYMENTS INC
OFFICER (Senior EVP),SEC_FORM_4,1,Miller Russell D,COSTCO WHOLESALE CORP /NEW
"OFFICER (Senior EVP, CFO)",SEC_FORM_4,1,Newell Eric R,EAGLE BANCORP INC
OFFICER (Senior Exec VP),SEC_FORM_4,1,Santhanakrishnan Senthilkumar,Bank of New York Mellon Corp
OFFICER (Senior Exec Vice President),SEC_FORM_4,1,Haines John R,Celularity Inc
OFFICER (Senior Exec. V.P.),SEC_FORM_4,1,Kleinman Scott D,HUNTINGTON BANCSHARES INC /MD/
OFFICER (Senior Exec. VP and CFO),SEC_FORM_4,1,DELLAQUILA FRANK J,EMERSON ELECTRIC CO
OFFICER (Senior Executive VP and CHRO),SEC_FORM_4,1,Carter Andrea M,GLOBAL PAYMENTS INC
"OFFICER (Senior Executive VP, CCO)",SEC_FORM_4,1,West Joe F,"Stellar Bancorp, Inc."
OFFICER (Senior Fellow),SEC_FORM_4,1,Asakura Masashi,TOYOTA MOTOR CORP/
OFFICER (Senior Managing Director & CIO),SEC_FORM_4,1,Weinstein Joshua S.,CAPITAL SOUTHWEST CORP
OFFICER (Senior VP & CAO),SEC_FORM_4,1,PEPPING KAREN K,UL Solutions Inc.
OFFICER (Senior VP & CCO),SEC_FORM_4,1,Flavin Lisa,EMERSON ELECTRIC CO
OFFICER (Senior VP & CDO),SEC_FORM_4,1,Juneja Girish,DOVER Corp
OFFICER (Senior VP & CIO),SEC_FORM_4,1,FLATT BEN ANDERSON SR,NATIONAL HEALTHCARE CORP
OFFICER (Senior VP & CMO),SEC_FORM_4,1,Ramnath Vidya,EMERSON ELECTRIC CO
OFFICER (Senior VP & COO),SEC_FORM_4,1,Hentschke Airton L,UNIVERSAL CORP /VA/
OFFICER (Senior VP & CPO),SEC_FORM_4,1,Piazza Nicholas J.,EMERSON ELECTRIC CO
OFFICER (Senior VP & Chief HR Officer),SEC_FORM_4,1,Strauss David P,LINDE PLC
OFFICER (Senior VP & Corp Controller),SEC_FORM_4,1,Ogilby Gary A,CURTISS WRIGHT CORP
OFFICER (Senior VP & Corp. Controller),SEC_FORM_4,1,Trpik Joseph R JR,EXELON CORP
OFFICER (Senior VP & Deputy CFO),SEC_FORM_4,1,MURPHY JOHN,COCA COLA CO
"OFFICER (Senior VP & GM, Automotive)",SEC_FORM_4,1,Nelson Avery H III,CORNING INC /NY
"OFFICER (Senior VP & GM, Display)",SEC_FORM_4,1,Zhang John Z,CORNING INC /NY
"OFFICER (Senior VP & GM, Life Sciences)",SEC_FORM_4,1,Verkleeren Ronald L,CORNING INC /NY
"OFFICER (Senior VP & GM, Optical Comm.)",SEC_FORM_4,1,Bell Michael Alan,CORNING INC /NY
OFFICER (Senior VP &CMO),SEC_FORM_4,1,Ramnath Vidya,EMERSON ELECTRIC CO
OFFICER (Senior VP - Human Resources),SEC_FORM_4,1,McGrath Marlene Mary,3M CO
OFFICER (Senior VP Global Wood Sourcing),SEC_FORM_4,1,BECK WOLFGANG,MERCER INTERNATIONAL INC.
OFFICER (Senior VP Operations),SEC_FORM_4,1,Zerillo Jeffrey,Prestige Consumer Healthcare Inc.
OFFICER (Senior VP Sales),SEC_FORM_4,1,Erstad Dean Everett,Seneca Foods Corp
OFFICER (Senior VP and COO),SEC_FORM_4,1,Dennehy Robert,"MACOM Technology Solutions Holdings, Inc."
"OFFICER (Senior VP and COO, NJNG)",SEC_FORM_4,1,Migliaccio Patrick J.,NEW JERSEY RESOURCES CORP
OFFICER (Senior VP and Secretary),SEC_FORM_4,1,Oliver Lawrence T.,RGC RESOURCES INC
OFFICER (Senior VP and Treasurer),SEC_FORM_4,1,McKeon Timothy,HALLIBURTON CO
OFFICER (Senior VP of Operations),SEC_FORM_4,1,Hawryschuk Nicholas P,"MONRO, INC."
OFFICER (Senior VP of Supply Chain),SEC_FORM_4,1,JACOBS MICHAEL,Ferguson Enterprises Inc. /DE/
OFFICER (Senior VP& Chief Legal Officer),SEC_FORM_4,1,Bichara Guillermo,LINDE PLC
OFFICER (Senior VP),SEC_FORM_4,1,Ewoldsen Daniel E,GENESCO INC
"OFFICER (Senior VP, CFO and Secretary)",SEC_FORM_4,1,Davis Mark Burton,"TILE SHOP HOLDINGS, INC."
"OFFICER (Senior VP, CTO)",SEC_FORM_4,1,Nalamasu Omkaram,APPLIED MATERIALS INC /DE
"OFFICER (Senior VP, Finance)",SEC_FORM_4,1,Beaty Anne L.,HALLIBURTON CO
"OFFICER (Senior VP, Gen Counsel & Secty)",SEC_FORM_4,1,Miller Susan C,Avery Dennison Corp
"OFFICER (Senior VP, Gen. Counsel, Sec.)",SEC_FORM_4,1,Gallopoulos Gregory S,GENERAL DYNAMICS CORP
"OFFICER (Senior VP, General Counsel)",SEC_FORM_4,1,Goepelt Bernhard,COCA COLA CO
"OFFICER (Senior VP, Global Commercial)",SEC_FORM_4,1,Boucharlat Gregory,GOODYEAR TIRE & RUBBER CO /OH/
"OFFICER (Senior VP, Global HR)",SEC_FORM_4,1,Humiston Mary E,APPLIED MATERIALS INC /DE
"OFFICER (Senior VP, Global Operations)",SEC_FORM_4,1,Ruggles Lisa,"COSTAR GROUP, INC."
"OFFICER (Senior VP, Innovation & Gov.)",SEC_FORM_4,1,Ridder Wolfram,MERCER INTERNATIONAL INC.
"OFFICER (Senior VP, Memory Design)",SEC_FORM_4,1,CHUANG PATRICK T,GSI TECHNOLOGY INC
"OFFICER (Senior VP, Personnel and Admin)",SEC_FORM_4,1,Baugnon Robert G,"Construction Partners, Inc."
"OFFICER (Senior VP, Products)",SEC_FORM_4,1,Vivek Vibhu,Cambium Networks Corp
"OFFICER (Senior VP, Sec & Gen Counsel)",SEC_FORM_4,1,D'AMICO LANCE E,AMPHENOL CORP /DE/
"OFFICER (Senior VP, Strategy & Services)",SEC_FORM_4,1,Agrawal Ajay,Carrier Global Corp
OFFICER (Senior VP/Chief Digital Offcer),SEC_FORM_4,1,Juneja Girish,DOVER Corp
OFFICER (Senior VP/Gen Counsel/Corp Sec),SEC_FORM_4,1,Dickerman Jeffrey F,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
OFFICER (Senior Vice Pres - Tax),SEC_FORM_4,1,Jones Myrtle L,HALLIBURTON CO
OFFICER (Senior Vice President & COO),SEC_FORM_4,1,Giesecke Daniel J.,Knowles Corp
OFFICER (Senior Vice President - HR),SEC_FORM_4,1,Hairston Michelle H.,PULTEGROUP INC/MI/
OFFICER (Senior Vice President Finance),SEC_FORM_4,1,OSSOWSKI JAMES L,PULTEGROUP INC/MI/
OFFICER (Senior Vice President and CAO),SEC_FORM_4,1,Kline Christine,UNIVERSAL TECHNICAL INSTITUTE INC
OFFICER (Senior Vice President and COO),SEC_FORM_4,1,Wagner Richard,INSTEEL INDUSTRIES INC
OFFICER (Senior Vice President of Legal),SEC_FORM_4,1,Saldana Madero Roger,CEMEX SAB DE CV
OFFICER (Senior Vice President of Sales),SEC_FORM_4,1,Spinelli Stephen M,"NAPCO SECURITY TECHNOLOGIES, INC"
OFFICER (Senior Vice President),,1,Carll Thomas Wayne,"AstroNova, Inc."
"OFFICER (Senior Vice President, CTO)",SEC_FORM_4,1,Nalamasu Omkaram,APPLIED MATERIALS INC /DE
"OFFICER (Senior Vice President, GC)",SEC_FORM_4,1,Larkins Thomas F,APPLIED MATERIALS INC /DE
"OFFICER (Senior Vice President, PA)",SEC_FORM_4,1,Wang Alice H,"Yum China Holdings, Inc."
"OFFICER (Senior Vice President,*)",SEC_FORM_4,1,Johns Bryce L.,Chubb Ltd
OFFICER (Senior Vice President-Blended),SEC_FORM_4,1,Williams Garland,Ferguson Enterprises Inc. /DE/
OFFICER (Senior Vice President/CAO),SEC_FORM_4,1,Reinseth Theresa E,3M CO
OFFICER (Senior Vice-President),SEC_FORM_4,1,Majmudar Anang K.,GENERAL AMERICAN INVESTORS CO INC
OFFICER (Snr VP & CLO GLSRA),SEC_FORM_4,1,WALKER KELLYE L.,DEERE & CO
OFFICER (Special Advisor to Board),SEC_FORM_4,1,FARACI JOHN V,INTERNATIONAL PAPER CO /NEW/
"OFFICER (Sr EVP & CEO, Exelon Utilities)",SEC_FORM_4,1,BUTLER CALVIN JR,EXELON CORP
OFFICER (Sr EVP & Chf Operating Officer),SEC_FORM_4,1,BUTLER CALVIN JR,EXELON CORP
OFFICER (Sr EVP & Chief Risk Officer),SEC_FORM_4,1,Santana Megan D,UNIVEST FINANCIAL Corp
OFFICER (Sr EVP and Chief Comm Officer),SEC_FORM_4,1,Roeder Paul M,Walt Disney Co
"OFFICER (Sr EVP, Chief Credit Officer)",SEC_FORM_4,1,Nassy Michael G.,"FVCBankcorp, Inc."
"OFFICER (Sr EVP, Chief Risk Officer)",SEC_FORM_4,1,Argo Ashley W,FIRST HORIZON CORP
"OFFICER (Sr EVP, General Counsel)",SEC_FORM_4,1,Wiseman Thomas Lang,FIRST HORIZON CORP
OFFICER (Sr Executive Vice President),SEC_FORM_4,1,Taylor Bernadette M,FULTON FINANCIAL CORP
OFFICER (Sr MD & Chief HR Officer),SEC_FORM_4,1,Piell Hilda Harris,CME GROUP INC.
OFFICER (Sr VP & COO Global Bev Pkg),SEC_FORM_4,1,Fisher Daniel William,BALL Corp
OFFICER (Sr VP & CTO),SEC_FORM_4,1,Ronaghi Mostafa,ILLUMINA INC
OFFICER (Sr VP & Chief Admin Officer),SEC_FORM_4,1,DUNAWAY BARRY C,J M SMUCKER Co
OFFICER (Sr VP & Chief Customer Officer),SEC_FORM_4,1,BOHRSON CHRISTOPHER,COHU INC
OFFICER (Sr VP & Chief Dev Officer),SEC_FORM_4,1,Webber Kevin J,CHESAPEAKE UTILITIES CORP
OFFICER (Sr VP & Chief Supply Chain Off),SEC_FORM_4,1,Leggett Michael Adam,LA-Z-BOY INC
"OFFICER (Sr VP & GM, Automotive & Solar)",SEC_FORM_4,1,Nelson Avery H III,CORNING INC /NY
OFFICER (Sr VP & General Counsel),SEC_FORM_4,1,Dadswell Charles,ILLUMINA INC
OFFICER (Sr VP & General Manager),SEC_FORM_4,1,Johnson Shane Aaron,InMed Pharmaceuticals Inc.
OFFICER (Sr VP & Pres. - Asia Pacific),SEC_FORM_4,1,Wood Jeffrey M,Allegion plc
OFFICER (Sr VP & President - Commercial),SEC_FORM_4,1,Arregui Jesus,Snap-on Inc
OFFICER (Sr VP & President FE Utilities),SEC_FORM_4,1,Strah Steven E,FIRSTENERGY CORP
OFFICER (Sr VP Corp Svcs & CIO),SEC_FORM_4,1,GAINES BENNETT L,FIRSTENERGY CORP
OFFICER (Sr VP Finance & CAO),SEC_FORM_4,1,Wigginton Brian,"Turning Point Brands, Inc."
OFFICER (Sr VP&GM Display &Corning Asia),SEC_FORM_4,1,Zhang John Z,CORNING INC /NY
"OFFICER (Sr VP, Applied Technology)",SEC_FORM_4,1,Khanna Rohit,WATERS CORP /DE/
"OFFICER (Sr VP, COO - Subsidiary)",SEC_FORM_4,1,Brown Roger A,CINCINNATI FINANCIAL CORP
"OFFICER (Sr VP, Chief Fin & Ops Off)",SEC_FORM_4,1,Birkett Bernard,WEST PHARMACEUTICAL SERVICES INC
"OFFICER (Sr VP, Chief Financial Officer)",SEC_FORM_4,1,Birkett Bernard,WEST PHARMACEUTICAL SERVICES INC
